Log File Created by Q Live - (c) 2012 Affectiva Inc.,,,,,
File Version: 1.01,,,,,
Firmware Version: 1.71,,,,,
UUID: AQL221200DG,,,,,
Sampling Rate: 8,,,,,
Start Time: 2013-05-06 10:13:54 Offset:+01,,,,,
 Z-axis | Y-axis | X-axis | Battery | �Celsius | EDA(uS),,,,,
---------------------------------------------------------,,,,,
0.3,0.67,0.2,-1,28.3,4.933
0.22,0.41,0.2,-1,28.3,4.977
0.69,0.95,0.5,-1,28.3,5.045
0.57,1.34,0.29,-1,28.3,5.09
0.4,1,0.23,-1,28.3,5.037
0.19,0.41,0.02,-1,28.3,5.037
0.58,1,0.31,-1,28.3,5.037
0.55,1.33,0.48,-1,28.3,5.037
0.05,0.93,0.32,-1,28.3,5.037
0.16,0.43,0.11,-1,28.3,5.09
0.32,0.48,0.29,-1,28.3,5.09
0.7,1.17,0.8,-1,28.3,5.09
0.5,1.13,0.1,-1,28.3,5.09
0.32,0.68,0.11,-1,28.3,5.09
0.24,0.41,0.02,-1,28.3,5.09
0.8,1.39,0.56,-1,28.3,5.03
0.46,1.44,0.37,-1,28.3,4.985
0.27,0.84,0.31,-1,28.3,4.977
0.2,0.28,0.19,-1,28.3,5.03
0.54,0.81,0.51,-1,28.3,5.03
0.56,1.55,0.4,-1,28.3,4.985
0.47,1.13,0.18,-1,28.3,4.985
0.23,0.42,0.07,-1,28.3,4.985
0.52,0.67,0.22,-1,28.3,4.977
0.74,1.51,0.57,-1,28.3,4.985
0.2,0.94,0.37,-1,28.3,5.037
0.2,0.36,0.1,-1,28.3,5.09
0.43,0.51,0.25,-1,28.3,5.09
0.74,1.19,0.65,-1,28.3,5.045
0.65,1.26,0.16,-1,28.3,4.985
0.29,0.56,0.07,-1,28.3,4.985
0.26,0.5,0.12,-1,28.3,4.977
0.72,1.51,0.54,-1,28.3,4.933
0.19,1.02,0.49,-1,28.3,5.037
0.28,0.66,0.17,-1,28.3,5.037
0.3,0.41,0.18,-1,28.3,5.037
0.78,1,0.53,-1,28.3,5.045
0.68,1.37,0.13,-1,28.3,5.09
0.45,1.16,0.07,-1,28.3,4.977
0.23,0.43,0.07,-1,28.3,4.977
0.53,0.73,0.17,-1,28.3,4.933
0.64,1.45,0.65,-1,28.3,4.97
0.09,0.93,0.33,-1,28.3,4.933
0.22,0.5,0.25,-1,28.3,5.03
0.32,0.33,0.14,-1,28.3,4.977
0.56,1,0.65,-1,28.3,4.933
0.42,1.28,0.19,-1,28.3,4.933
0.39,0.89,0.16,-1,28.3,4.925
0.15,0.34,0.01,-1,28.3,4.882
0.67,1.19,0.33,-1,28.3,4.882
0.44,1.62,0.33,-1,28.3,4.882
0.29,0.97,0.23,-1,28.3,4.882
0.09,0.24,0.15,-1,28.3,4.882
0.5,0.82,0.44,-1,28.3,4.882
0.62,1.53,0.4,-1,28.3,4.882
0.45,1.17,0.19,-1,28.3,4.832
0.18,0.36,0.06,-1,28.3,4.832
0.54,0.71,0.15,-1,28.3,4.824
0.52,1.47,0.74,-1,28.3,4.824
0.05,0.95,0.36,-1,28.3,4.782
0.2,0.44,0.15,-1,28.3,4.782
0.23,0.5,0.32,-1,28.3,4.782
0.5,1.21,0.74,-1,28.3,4.782
0.45,1.24,0.22,-1,28.3,4.782
0.33,0.71,0.16,-1,28.3,4.782
0.22,0.42,0.06,-1,28.3,4.824
0.55,1.43,0.53,-1,28.3,4.824
0.09,1.14,0.51,-1,28.3,4.832
0.21,0.72,0.23,-1,28.3,4.832
0.15,0.31,0.21,-1,28.3,4.875
0.58,0.98,0.67,-1,28.3,4.882
0.5,1.41,0.25,-1,28.3,4.875
0.32,1.09,0.27,-1,28.3,4.832
0.14,0.35,0.07,-1,28.3,4.832
0.6,0.94,0.33,-1,28.3,4.824
0.45,1.41,0.57,-1,28.3,4.832
0.05,1,0.32,-1,28.3,4.824
0.18,0.31,0.18,-1,28.3,4.832
0.3,0.41,0.34,-1,28.3,4.832
0.45,1.17,0.74,-1,28.3,4.832
0.38,1.15,0.34,-1,28.3,4.824
0.22,0.63,0.22,-1,28.3,4.824
0.34,0.53,0.14,-1,28.3,4.824
0.68,1.41,0.7,-1,28.3,4.824
0.11,1.1,0.58,-1,28.3,4.824
0.18,0.68,0.26,-1,28.3,4.824
0.17,0.3,0.23,-1,28.3,4.867
0.47,1.06,0.79,-1,28.3,4.782
0.47,1.15,0.2,-1,28.3,4.782
0.3,0.71,0.24,-1,28.3,4.824
0.26,0.38,0.14,-1,28.3,4.824
0.67,1.22,0.58,-1,28.3,4.782
0.35,1.59,0.42,-1,28.3,4.782
0.18,0.98,0.2,-1,28.3,4.782
0.06,0.26,0.17,-1,28.3,4.782
0.42,1.04,0.55,-1,28.3,4.782
0.39,1.43,0.57,-1,28.3,4.733
0.41,1.09,0.28,-1,28.3,4.726
0.14,0.35,0.11,-1,28.3,4.768
0.48,0.85,0.34,-1,28.3,4.733
0.35,1.42,0.97,-1,28.3,4.733
0.02,1.05,0.33,-1,28.3,4.775
0.13,0.39,0.16,-1,28.3,4.782
0.17,0.5,0.35,-1,28.3,4.782
0.32,1.15,0.75,-1,28.3,4.733
0.4,1.29,0.35,-1,28.3,4.733
0.25,0.68,0.25,-1,28.3,4.782
0.19,0.45,0.08,-1,28.3,4.733
0.61,1.41,0.65,-1,28.3,4.733
0.08,1.17,0.44,-1,28.3,4.782
0.25,0.85,0.21,-1,28.3,4.775
0.09,0.33,0.17,-1,28.5,4.782
0.53,0.92,0.56,-1,28.3,4.782
0.61,1.44,0.3,-1,28.3,4.782
