EpochNum,StartTime,EndTime,qualityLabel_Expert1,qualityLabel_Expert2,qualityLabel_Expert3,Expert1_timesSkipped,Expert2_timesSkipped,Expert3_timesSkipped,raw_amp,raw_mind,raw_maxabsd,filt_amp,filt_mind,filt_min2d,filt_maxabs2d,max_1s_3,aboveZero_1s_1
0,2013-05-06 10:13:54,2013-05-06 10:13:59,0.0,0.0,1.0,1.0,2.0,0.0,-1.12008416814,0.394912246158,-0.433098333944,-1.91896514877,-2.76953655849,-7.92644860396,6.03403583055,-0.446131663074,0.634062037616
1,2013-05-06 10:13:59,2013-05-06 10:14:04,1.0,1.0,1.0,0.0,0.0,0.0,-1.35300384859,0.423553036598,-0.460424047892,-1.31848621934,0.331412350362,0.253737524161,-0.328408776274,-0.451949770418,0.634062037616
2,2013-05-06 10:14:04,2013-05-06 10:14:09,1.0,1.0,1.0,0.0,0.0,0.0,-1.46339557233,0.445033629427,-0.480918333354,-1.45383007902,0.547330235805,0.510591068298,-0.525302133188,-0.517403478039,-0.362716711475
3,2013-05-06 10:14:09,2013-05-06 10:14:14,2.0,2.0,2.0,0.0,0.0,0.0,-1.9348230857,-0.285306526774,0.215887372337,-1.88788110092,-0.43479198305,-0.0104852352735,0.0284907732271,0.270950067084,-0.362716711475
4,2013-05-06 10:14:14,2013-05-06 10:14:19,1.0,1.0,1.0,0.0,0.0,0.0,-1.7110570047,0.443243580025,-0.46725547638,-1.73635717191,0.478091862172,0.443287120133,-0.475838038363,-0.477403990048,0.634062037616
5,2013-05-06 10:14:19,2013-05-06 10:14:24,1.0,1.0,1.0,0.0,0.0,0.0,-1.62092661908,0.462934123452,-0.497996904572,-1.6237899051,0.568571821014,0.5128454051,-0.52993958668,-0.472313146122,0.634062037616
6,2013-05-06 10:14:24,2013-05-06 10:14:29,1.0,1.0,1.0,0.0,0.0,0.0,-1.58009539456,0.464724172854,-0.463839762136,-1.59236263693,0.534679246316,0.480077557541,-0.504453172102,-0.472313146122,-0.362716711475
7,2013-05-06 10:14:29,2013-05-06 10:14:34,1.0,1.0,1.0,0.0,0.0,0.0,-1.50079848245,0.44682367883,-0.482626190476,-1.48940718816,0.498003841723,0.479303110221,-0.503850816839,-0.372678057855,-0.362716711475
8,2013-05-06 10:14:34,2013-05-06 10:14:39,1.0,1.0,1.0,0.0,0.0,0.0,-1.5326132401,0.511265457318,-0.542401189738,-1.53628638334,0.469328608442,0.490135926072,-0.458071530846,-0.216316422983,-1.35949546057
9,2013-05-06 10:14:39,2013-05-06 10:14:44,2.0,2.0,2.0,0.0,0.0,0.0,-1.62370355375,-0.133152327566,0.0707195169849,-1.61503474902,-0.0536428742516,0.162988860929,0.00227889053633,-0.19158946677,0.634062037616
